atletas.nome;atletas.rodada_id;atletas.posicao_id;atletas.status_id;atletas.preco_num;atletas.clube.id.full.name;confronto.atual;sede.rodada.atual;classificacao_F;classificacao;;;;Bom;"
Excelente";Ruim
Matheus Ferraz Pereira;28;zag;Provável;6.4;América-MG;Atlético-PR;fora;ruim;ruim;;;Classe real;53;19;187
David França Oliveira e Silva;28;mei;Provável;2.44;América-MG;Atlético-PR;fora;ruim;ruim;;;Acertos;7;0;175
Adilson Dias Batista;28;tec;Provável;8.67;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Gerson Alencar de Lima Junior;28;mei;Provável;2.82;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Luan Michel;28;ata;Provável;8.61;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Carlos Emiliano Pereira;28;lat;Provável;12.82;América-MG;Atlético-PR;fora;bom;excelente;;;;;;
Giovanni Palmieri dos Santos;28;lat;Dúvida ;8.65;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
João Ricardo Riedi;28;gol;Dúvida ;5.07;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Adilson dos Anjos Oliveira;28;mei;Provável;8.04;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Messias Rodrigues da Silva Júnior;28;zag;Provável;8.02;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Aderlan de Lima Silva;28;lat;Provável;5.57;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Matheus Leonardo Sales Cardoso;28;mei;Provável;3.58;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
José Ricardo Barbosa Ribeiro Drumond;28;mei;Dúvida ;0.93;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Joriwinnyson Santos dos Anjos Rodrigues;28;gol;Dúvida ;8.8;América-MG;Atlético-PR;fora;ruim;ruim;;;;;;
Fábio Santos Romeu;28;lat;Provável;6.57;Atlético-MG;Chapecoense;fora;ruim;excelente;;;;;;
Ricardo de Oliveira;28;ata;Provável;13.06;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Adilson Warken;28;mei;Dúvida;6.77;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Victor Leandro Bagy;28;gol;Provável;9.86;Atlético-MG;Chapecoense;fora;ruim;bom;;;;;;
Elias Mendes Trindade;28;mei;Provável;6.49;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Patric Cabral Lalau;28;lat;Provável;4.03;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Luan Madson Gedeão De Paiva;28;ata;Provável;14.52;Atlético-MG;Chapecoense;fora;ruim;bom;;;;;;
Leonardo Fabiano da Silva e Silva;28;zag;Provável;9.25;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Juan Ramón  Cazares Sevillano;28;mei;Provável;12.85;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;93,5828877;;
José Welison da Silva;28;mei;Dúvida;4.91;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;70,27;;
Iago Justen Maidana Martins;28;zag;Provável;3.07;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Leandro Henrique do Nascimento;28;ata;Dúvida;2.57;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Tomáis Gustavo Andrade;28;mei;Dúvida;5.79;Atlético-MG;Chapecoense;fora;ruim;bom;;;;;;
Thiago Larghi;28;tec;Provável;11.33;Atlético-MG;Chapecoense;fora;ruim;ruim;;;;;;
Paulo André Cren Benini;28;zag;Provável ;6.7;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Jonathan Cícero Moreira;28;lat;Dúvida;10.31;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Wellington Aparecido Martins;28;mei;Provável ;2.92;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;20;
Aderbar Melo dos Santos Neto;28;gol;Provável ;10.42;Atlético-PR;Chapecoense ;casa;bom;bom;;Quantidade de classe prevista;;;;
Marcelo Cirino da Silva;28;ata;Provável ;7.02;Atlético-PR;Chapecoense ;casa;ruim;bom;;;;;;
Maycon Vinícius Ferreira da Cruz;28;mei;Provável ;13.32;Atlético-PR;Chapecoense ;casa;ruim;excelente;;;;;;
Luis Oscar González;28;mei;Provável ;4.24;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Leonardo Pereira;28;zag;Provável ;2.75;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Ronielson da Silva Barbosa;28;ata;Dúvida;7.35;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Diego Ferreira Matheus;28;lat;Dúvida;4.79;Atlético-PR;Chapecoense ;casa;ruim;excelente;;;;;;
Raphael Cavalcante Veiga;28;mei;Provável ;7.78;Atlético-PR;Chapecoense ;casa;ruim;bom;;;;;;
Marcio Antonio de Sousa Júnior;28;ata;Dúvida;4.47;Atlético-PR;Chapecoense ;casa;ruim;ruim;;;;;;
Renan Augusto Lodi dos Santos;28;lat;Provável ;5.12;Atlético-PR;Chapecoense ;casa;ruim;excelente;;;;;;
Tiago Retzlaff Nunes;28;tec;Provável ;10.98;Atlético-PR;Chapecoense ;casa;ruim;bom;;;;;;
Nilton Ferreira Júnior;28;mei;Provável;6.0;Bahia;Grêmio ;fora;ruim;bom;;;;;;
