atletas.nome;atletas.rodada_id;atletas.posicao_id;atletas.status_id;atletas.preco_num;atletas.clube.id.full.name;confronto.atual;sede.rodada.atual;classificacao_F;classificacao;;;;Bom;Excelente;Ruim
Matheus Ferraz Pereira;30;zag;Provável;6.0;América-MG;Grêmio;casa;ruim;ruim;;;Classe Real ;47;14;191
Adilson Dias Batista;30;tec;Provável;9.37;América-MG;Grêmio;casa;bom;ruim;;;Acertos;7;0;173
Gerson Alencar de Lima Junior;30;mei;Provável;3.56;América-MG;Grêmio;casa;ruim;ruim;;;;;;
Luan Michel;30;ata;Provável;8.81;América-MG;Grêmio;casa;ruim;ruim;;;;;;
Carlos Emiliano Pereira;30;lat;Provável;12.48;América-MG;Grêmio;casa;ruim;bom;;;;;;
Giovanni Palmieri dos Santos;30;lat;Provável;8.2;América-MG;Grêmio;casa;ruim;ruim;;;;;;
João Ricardo Riedi;30;gol;Provável;7.71;América-MG;Grêmio;casa;ruim;bom;;;;;;
Adilson dos Anjos Oliveira;30;mei;Provável;9.59;América-MG;Grêmio;casa;ruim;bom;;;;;;
Messias Rodrigues da Silva Júnior;30;zag;Provável;8.25;América-MG;Grêmio;casa;ruim;ruim;;;;;;
Aderlan de Lima Silva;30;lat;Provável;5.31;América-MG;Grêmio;casa;ruim;bom;;;;;;
Matheus Leonardo Sales Cardoso;30;mei;Dúvida ;3.49;América-MG;Grêmio;casa;ruim;ruim;;;;;;
José Ricardo Barbosa Ribeiro Drumond;30;mei;Provável;2.0;América-MG;Grêmio;casa;ruim;ruim;;;;;;
Robson Azevedo da Silva;30;ata;Dúvida ;3.92;América-MG;Grêmio;casa;ruim;ruim;;;;;;
Ricardo de Oliveira;30;ata;Provável;11.79;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Adilson Warken;30;mei;Provável;5.97;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Victor Leandro Bagy;30;gol;Provável;11.16;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Elias Mendes Trindade;30;mei;Provável;6.87;Atlético-MG;Fluminense;fora;ruim;bom;;;;;;
Luan Madson Gedeão De Paiva;30;ata;Provável;14.4;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Leonardo Fabiano da Silva e Silva;30;zag;Provável;9.85;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Juan Ramón  Cazares Sevillano;30;mei;Provável;10.06;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Iago Justen Maidana Martins;30;zag;Provável;4.04;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Emerson Aparecido Leite de Souza Junior;30;lat;Provável;5.75;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Yimmi Javier Chará Zamora;30;ata;Provável;9.45;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Carlos Gabriel Moreira de Oliviera;30;lat;Provável;3.6;Atlético-MG;Fluminense;fora;ruim;ruim;;;;;;
Paulo André Cren Benini;30;zag;Dúvida;7.18;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Jonathan Cícero Moreira;30;lat;Dúvida;9.7;Atlético-PR;São Paulo ;fora;ruim;bom;;;;;;
Thiago Heleno Henrique Ferreira;30;zag;Dúvida;10.39;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Wellington Aparecido Martins;30;mei;Provável ;2.98;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Marcelo Cirino da Silva;30;ata;Provável ;5.84;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Pablo Felipe Teixeira;30;ata;Provável ;11.47;Atlético-PR;São Paulo ;fora;bom;bom;;;;;;
Maycon Vinícius Ferreira da Cruz;30;mei;Provável ;10.99;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Luis Oscar González;30;mei;Provável ;4.02;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Felipe Alves Raymundo;30;gol;Provável ;1.8;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Leonardo Pereira;30;zag;Provável ;3.9;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Diego Ferreira Matheus;30;lat;Dúvida;4.79;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
Raphael Cavalcante Veiga;30;mei;Provável ;6.96;Atlético-PR;São Paulo ;fora;ruim;ruim;;;;;;
