atletas.nome;atletas.atleta_id;atletas.rodada_id;atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.media_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;resultado.partida;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
Matheus Ferraz Pereira;38632;28;zag;Provável;8.6;6.4;2.86;América-MG;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
David França Oliveira e Silva;38695;28;mei;Provável;-0.8;2.44;0.83;América-MG;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Adilson Dias Batista;41258;28;tec;Provável;0.23;8.67;3.17;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Gerson Alencar de Lima Junior;50401;28;mei;Provável;3.5;2.82;1.97;América-MG;0;1;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Luan Michel;60834;28;ata;Provável;5.1;8.61;2.28;América-MG;1;0;0;1;0;0;4;0;3;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Carlos Emiliano Pereira;63194;28;lat;Provável;0.0;12.82;5.14;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;exelente
Giovanni Palmieri dos Santos;72097;28;lat;Dúvida ;0.0;8.65;4.74;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
João Ricardo Riedi;81881;28;gol;Dúvida ;10.7;5.07;3.98;América-MG;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Adilson dos Anjos Oliveira;82381;28;mei;Provável;4.5;8.04;3.25;América-MG;1;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Messias Rodrigues da Silva Júnior;87402;28;zag;Provável;7.5;8.02;2.69;América-MG;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Aderlan de Lima Silva;88423;28;lat;Provável;9.1;5.57;3.51;América-MG;1;0;0;2;0;0;3;0;3;0;1;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Matheus Leonardo Sales Cardoso;93886;28;mei;Provável;1.9;3.58;2.17;América-MG;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
José Ricardo Barbosa Ribeiro Drumond;97317;28;mei;Dúvida ;2.7;0.93;1.11;América-MG;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;sim;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Joriwinnyson Santos dos Anjos Rodrigues;97453;28;gol;Dúvida ;0.0;8.8;1.48;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate;Corinthians;0 x 0;Atlético-PR;4.47;fora;ruim
Fábio Santos Romeu;38229;28;lat;Provável;9.2;6.57;2.92;Atlético-MG;2;0;1;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;exelente
Ricardo de Oliveira;38910;28;ata;Provável;7.9;13.06;6.02;Atlético-MG;4;1;0;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Adilson Warken;50307;28;mei;Dúvida;0.0;6.77;3.09;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Victor Leandro Bagy;52950;28;gol;Provável;-4.0;9.86;3.03;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;bom
Elias Mendes Trindade;54395;28;mei;Provável;14.7;6.49;3.45;Atlético-MG;2;0;0;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Patric Cabral Lalau;60969;28;lat;Provável;0.0;4.03;1.43;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Luan Madson Gedeão De Paiva;63219;28;ata;Provável;5.4;14.52;5.1;Atlético-MG;1;0;1;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;bom
Leonardo Fabiano da Silva e Silva;68925;28;zag;Provável;-3.3;9.25;5.08;Atlético-MG;0;0;2;0;0;1;1;0;3;0;0;0;0;0;0;1;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Juan Ramón  Cazares Sevillano;81682;28;mei;Provável;17.8;12.85;4.21;Atlético-MG;1;1;0;0;1;0;1;0;8;2;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
José Welison da Silva;86859;28;mei;Dúvida;7.9;4.91;2.68;Atlético-MG;2;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Iago Justen Maidana Martins;89226;28;zag;Provável;-3.1;3.07;1.74;Atlético-MG;4;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Leandro Henrique do Nascimento;91702;28;ata;Dúvida;0.0;2.57;1.55;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Tomáis Gustavo Andrade;97619;28;mei;Dúvida;0.0;5.79;4.02;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;bom
Thiago Larghi;101957;28;tec;Provável;6.03;11.33;4.6;Atlético-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;vitoria;Sport;5 x 2;Chapecoense;8.51;fora;ruim
Paulo André Cren Benini;37604;28;zag;Provável ;-4.0;6.7;2.4;Atlético-PR;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Jonathan Cícero Moreira;37662;28;lat;Dúvida;0.0;10.31;4.25;Atlético-PR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Wellington Aparecido Martins;62129;28;mei;Provável ;1.5;2.92;1.48;Atlético-PR;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
